,la_name,Region,ONS code,total_comms,n_above_avg_comms,p_above_avg_comms,total_gms,n_above_avg_gms,p_above_avg_gms,total_fms,n_above_avg_fms,p_above_avg_fms,total_problem_solving,n_above_avg_problem_solving,p_above_avg_problem_solving,total_personal_social,n_above_avg_personal_social,p_above_avg_personal_social,total_overall,n_above_avg_overall,p_above_avg_overall,date,total_kids_hv,eyfsp_score,response_rate_census,response_rate_hv,response_rate_combined,response_rate_warning
10,Stockton on Tees,North East,E06000004,467,428,0.9164882226980728,467,459,0.9828693790149893,467,455,0.974304068522484,467,443,0.9486081370449678,467,447,0.9571734475374732,467,423,0.9057815845824411,April 2021 - June 2021,522,,0.8527430221366699,0.8515136953387794,0.8521283587377246,No
11,Sunderland,North East,E08000024,599,527,0.8797996661101837,599,578,0.9649415692821369,599,577,0.9632721202003339,599,575,0.9599332220367279,599,569,0.9499165275459098,599,511,0.8530884808013356,April 2021 - June 2021,630,,0.8766184310738766,0.9312297734627831,0.9039241022683299,No
12,Blackburn with Darwen,North West,E06000008,452,DK,-,452,DK,-,452,DK,-,452,DK,-,452,DK,-,452,DK,-,April 2021 - June 2021,485,,Could Not Calculate Response Rate,Could Not Calculate Response Rate,Could Not Calculate Response Rate,No
13,Blackpool,North West,E06000009,318,273,0.8584905660377359,318,311,0.9779874213836478,318,308,0.9685534591194969,318,300,0.9433962264150944,318,297,0.9339622641509434,318,261,0.8207547169811321,April 2021 - June 2021,396,,0.8839662447257384,0.7925598991172762,0.8382630719215073,No
14,Bolton,North West,E08000001,649,520,0.8012326656394453,649,592,0.9121725731895224,649,556,0.8567026194144838,649,583,0.8983050847457628,649,561,0.864406779661017,649,461,0.7103235747303543,April 2021 - June 2021,909,,0.7552934870008041,0.8049128820337047,0.7801031845172544,No
15,Bury,North West,E08000002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,April 2021 - June 2021,-,,Could Not Calculate Response Rate,Could Not Calculate Response Rate,Could Not Calculate Response Rate,No
16,Cheshire East,North West,E06000049,880,808,0.9181818181818182,880,858,0.975,880,855,0.9715909090909091,880,855,0.9715909090909091,880,844,0.9590909090909091,880,771,0.8761363636363636,April 2021 - June 2021,985,,0.8883116883116883,0.8693441789527199,0.878827933632204,No
17,Cheshire West and Chester,North West,E06000050,623,570,0.9149277688603531,623,595,0.9550561797752809,623,602,0.9662921348314607,623,591,0.9486356340288925,623,586,0.9406099518459069,623,536,0.8603531300160514,April 2021 - June 2021,832,,0.7647743813682678,0.7679041216018708,0.7663392514850693,No
18,Cumbria,North West,E10000006,503,DK,-,503,DK,-,503,DK,-,503,DK,-,503,DK,-,503,DK,-,April 2021 - June 2021,1123,,Could Not Calculate Response Rate,Could Not Calculate Response Rate,Could Not Calculate Response Rate,No
19,Halton,North West,E06000006,234,204,0.8717948717948718,234,224,0.9572649572649573,234,222,0.9487179487179487,234,228,0.9743589743589743,234,228,0.9743589743589743,234,216,0.9230769230769231,April 2021 - June 2021,333,,0.7259887005649718,0.7374461979913917,0.7317174492781817,No
20,Knowsley,North West,E08000011,375,340,0.9066666666666666,375,360,0.96,375,359,0.9573333333333334,375,356,0.9493333333333334,375,352,0.9386666666666666,375,330,0.88,April 2021 - June 2021,521,,0.5712820512820512,0.5550572994519183,0.5631696753669848,No
21,Lancashire,North West,E10000017,2364,2181,0.9225888324873096,2364,2300,0.9729272419627749,2364,2326,0.9839255499153976,2364,2289,0.9682741116751269,2364,2292,0.9695431472081218,2364,2126,0.8993231810490694,April 2021 - June 2021,3278,,0.6830544762508921,0.6648143860461526,0.6739344311485224,No
22,Liverpool,North West,E08000012,1256,983,0.7826433121019108,1256,1235,0.98328025477707,1256,1200,0.9554140127388535,1256,1186,0.9442675159235668,1256,1189,0.946656050955414,1256,956,0.7611464968152867,April 2021 - June 2021,1346,,0.941909509202454,0.9275061355484236,0.9347078223754388,No
23,Manchester,North West,E08000003,1356,1164,0.8584070796460177,1356,1296,0.9557522123893806,1356,1273,0.9387905604719764,1356,1291,0.9520648967551623,1356,1258,0.9277286135693216,1356,1088,0.8023598820058997,April 2021 - June 2021,1822,,0.7442255916111662,0.7266187050359713,0.7354221483235688,No
24,Oldham,North West,E08000004,266,201,0.7556390977443609,266,241,0.9060150375939849,266,230,0.8646616541353384,266,232,0.8721804511278195,266,218,0.8195488721804511,266,170,0.6390977443609023,April 2021 - June 2021,846,,0.6942492012779553,0.6740074441687345,0.6841283227233449,No
25,Rochdale,North West,E08000005,DK,DK,-,DK,DK,-,DK,DK,-,DK,DK,-,DK,DK,-,DK,DK,-,April 2021 - June 2021,717,,Could Not Calculate Response Rate,Could Not Calculate Response Rate,Could Not Calculate Response Rate,No
26,Salford,North West,E08000006,629,495,0.7869634340222575,629,494,0.7853736089030207,629,388,0.6168521462639109,629,489,0.7774244833068362,629,527,0.8378378378378378,629,282,0.4483306836248013,April 2021 - June 2021,825,,0.6935300794551645,0.7419550698239222,0.7177425746395434,No
27,Sefton,North West,E08000014,596,514,0.8624161073825504,596,583,0.9781879194630873,596,588,0.9865771812080537,596,579,0.9714765100671141,596,496,0.8322147651006712,596,438,0.7348993288590604,April 2021 - June 2021,649,,0.9092592592592592,0.9092592592592592,0.9092592592592592,No
28,St Helens,North West,E08000013,425,393,0.9247058823529412,425,406,0.9552941176470588,425,410,0.9647058823529412,425,408,0.96,425,398,0.9364705882352942,425,374,0.88,April 2021 - June 2021,533,,0.7444743935309973,0.7174025974025974,0.7309384954667973,No
29,Stockport,North West,E08000007,763,614,0.8047182175622543,763,712,0.9331585845347313,763,681,0.8925294888597641,763,723,0.9475753604193972,763,683,0.8951507208387942,763,535,0.7011795543905636,April 2021 - June 2021,821,,0.9067716535433071,0.9195145320983711,0.913143092820839,No
30,Tameside,North West,E08000008,592,491,0.8293918918918919,592,568,0.9594594594594594,592,575,0.9712837837837838,592,563,0.9510135135135135,592,559,0.9442567567567568,592,491,0.8293918918918919,April 2021 - June 2021,713,,0.8829394387001477,0.8521026372059872,0.8675210379530675,No
31,Trafford,North West,E08000009,DK,DK,-,DK,DK,-,DK,DK,-,DK,DK,-,DK,DK,-,DK,DK,-,April 2021 - June 2021,696,,0.717465305053679,0.7205998421468035,0.7190325736002412,No
32,Warrington,North West,E06000007,319,282,0.8840125391849529,319,312,0.9780564263322884,319,312,0.9780564263322884,319,303,0.9498432601880877,319,303,0.9498432601880877,319,298,0.9341692789968652,April 2021 - June 2021,539,,0.773371104815864,0.7548387096774194,0.7641049072466417,No
33,Wigan,North West,E08000010,720,633,0.8791666666666667,720,698,0.9694444444444444,720,695,0.9652777777777778,720,684,0.95,720,676,0.9388888888888889,720,611,0.8486111111111111,April 2021 - June 2021,825,,0.7516758962401632,0.8029265255292652,0.7773012108847142,No
34,Wirral,North West,E08000015,490,450,0.9183673469387755,490,478,0.9755102040816327,490,486,0.9918367346938776,490,474,0.9673469387755103,490,467,0.9530612244897959,490,435,0.8877551020408163,April 2021 - June 2021,829,,0.6999065129323777,0.6714499252615844,0.685678219096981,No
35,Barnsley,Yorkshire and The Humber,E08000016,555,501,0.9027027027027027,555,536,0.9657657657657658,555,540,0.972972972972973,555,524,0.9441441441441442,555,527,0.9495495495495495,555,491,0.8846846846846846,April 2021 - June 2021,693,,0.9492273730684326,0.9290601368383147,0.9391437549533737,No
36,Bradford,Yorkshire and The Humber,E08000032,189,136,0.7195767195767195,189,164,0.8677248677248677,189,156,0.8253968253968254,189,155,0.8201058201058201,189,153,0.8095238095238095,189,123,0.6507936507936508,April 2021 - June 2021,1776,,0.235607821687406,0.23293226983912396,0.234270045763265,No
37,Calderdale,Yorkshire and The Humber,E08000033,396,358,0.9040404040404041,396,384,0.9696969696969697,396,392,0.98989898989899,396,378,0.9545454545454546,396,381,0.9621212121212122,396,341,0.8611111111111112,April 2021 - June 2021,563,,0.7173713235294118,0.7134369287020109,0.7154041261157114,No
38,Doncaster,Yorkshire and The Humber,E08000017,846,703,0.8309692671394799,846,808,0.9550827423167849,846,816,0.9645390070921985,846,822,0.9716312056737588,846,793,0.9373522458628841,846,676,0.7990543735224587,April 2021 - June 2021,865,,0.9309163574079361,0.9217071791972866,0.9263117683026114,No
39,East Riding of Yorkshire,Yorkshire and The Humber,E06000011,434,405,0.9331797235023042,434,422,0.9723502304147466,434,422,0.9723502304147466,434,414,0.9539170506912442,434,420,0.967741935483871,434,390,0.8986175115207373,April 2021 - June 2021,684,,0.8492426910884114,0.8672661870503597,0.8582544390693856,No
40,Kingston upon Hull,Yorkshire and The Humber,E06000010,666,591,0.8873873873873874,666,645,0.9684684684684685,666,651,0.9774774774774775,666,637,0.9564564564564565,666,626,0.93993993993994,666,565,0.8483483483483484,April 2021 - June 2021,797,,0.7929529154973496,0.8269918699186992,0.8099723927080245,No
41,Kirklees,Yorkshire and The Humber,E08000034,389,340,0.8740359897172236,389,361,0.9280205655526992,389,377,0.9691516709511568,389,362,0.9305912596401028,389,358,0.9203084832904884,389,315,0.8097686375321337,April 2021 - June 2021,1268,,0.3200815494393476,0.31231350706186595,0.31619752825060676,No
42,Leeds,Yorkshire and The Humber,E08000035,1867,1649,0.8832351365827531,1867,1717,0.9196572040707016,1867,1718,0.9201928227102303,1867,1689,0.9046598821638993,1867,1683,0.9014461703267274,1867,1565,0.838243170862346,April 2021 - June 2021,2423,,0.7339519650655022,0.7250080879974118,0.7294800265314569,No
43,North East Lincolnshire,Yorkshire and The Humber,E06000012,243,210,0.8641975308641975,243,233,0.9588477366255144,243,236,0.9711934156378601,243,232,0.9547325102880658,243,229,0.9423868312757202,243,202,0.831275720164609,April 2021 - June 2021,415,,0.8139255702280912,0.7962419260129184,0.8050837481205049,No
44,North Lincolnshire,Yorkshire and The Humber,E06000013,416,366,0.8798076923076923,416,404,0.9711538461538461,416,404,0.9711538461538461,416,393,0.9447115384615384,416,389,0.9350961538461539,416,355,0.8533653846153846,April 2021 - June 2021,416,,0.9136778115501519,0.8962432915921288,0.9049605515711403,No
45,North Yorkshire,Yorkshire and The Humber,E10000023,1217,1110,0.9120788824979458,1217,1162,0.9548069022185702,1217,1185,0.9737058340180772,1217,1157,0.9506984387838948,1217,1142,0.9383730484798686,1217,1072,0.8808545603944125,April 2021 - June 2021,1234,,0.8728797408042691,0.9291945627916413,0.9010371517979552,No
46,Rotherham,Yorkshire and The Humber,E08000018,720,627,0.8708333333333333,720,654,0.9083333333333333,720,570,0.7916666666666666,720,672,0.9333333333333333,720,654,0.9083333333333333,720,515,0.7152777777777778,April 2021 - June 2021,758,,0.9652728561304039,0.8669637173774666,0.9161182867539353,No
47,Sheffield,Yorkshire and The Humber,E08000019,1356,1249,0.9210914454277286,1356,1327,0.9786135693215339,1356,1321,0.974188790560472,1356,1323,0.9756637168141593,1356,1305,0.9623893805309734,1356,1202,0.8864306784660767,April 2021 - June 2021,1515,,0.8672596073166638,0.8672596073166638,0.8672596073166638,No
48,Wakefield,Yorkshire and The Humber,E08000036,149,111,0.7449664429530202,149,132,0.8859060402684564,149,127,0.8523489932885906,149,125,0.8389261744966443,149,126,0.8456375838926175,149,102,0.6845637583892618,April 2021 - June 2021,974,,0.6139511458071015,0.6061660865241174,0.6100586161656094,No
49,York,Yorkshire and The Humber,E06000014,262,237,0.9045801526717557,262,250,0.9541984732824428,262,255,0.9732824427480916,262,255,0.9732824427480916,262,252,0.9618320610687023,262,227,0.8664122137404581,April 2021 - June 2021,430,,0.7906836055656382,0.7765894236482471,0.7836365146069426,No
50,Derby,East Midlands,E06000015,696,622,0.8936781609195402,696,677,0.9727011494252874,696,675,0.9698275862068966,696,670,0.9626436781609196,696,661,0.9497126436781609,696,608,0.8735632183908046,April 2021 - June 2021,831,,0.8875598086124402,0.8415424497731692,0.8645511291928047,No
51,Derbyshire,East Midlands,E10000007,1813,1773,0.9779371207942636,1813,1771,0.9768339768339769,1813,1770,0.9762824048538334,1813,1774,0.9784886927744071,1813,1772,0.9773855488141202,1813,1543,0.8510755653612796,April 2021 - June 2021,1824,,0.8930978700458344,0.8871183717193358,0.8901081208825852,No
52,Leicester,East Midlands,E06000016,1031,703,0.6818622696411252,1031,796,0.7720659553831232,1031,763,0.7400581959262852,1031,774,0.7507274490785645,1031,755,0.7322987390882638,1031,634,0.6149369544131911,April 2021 - June 2021,1152,,0.7920017873100983,0.7453742640874684,0.7686880256987834,No
53,Leicestershire,East Midlands,E10000018,1237,DK,-,1237,DK,-,1237,DK,-,1237,DK,-,1237,DK,-,1237,1102,0.8908649959579629,April 2021 - June 2021,1838,,0.7317003294656926,0.7064029871387083,0.7190516583022004,No
54,Lincolnshire,East Midlands,E10000019,199,142,0.7135678391959799,199,176,0.8844221105527639,199,180,0.9045226130653267,199,170,0.8542713567839196,199,164,0.8241206030150754,199,130,0.6532663316582915,April 2021 - June 2021,1829,,0.265974325688735,0.2564673157162726,0.26122082070250385,No
55,North Northamptonshire,East Midlands,E06000061,640,500,0.78125,640,577,0.9015625,640,577,0.9015625,640,558,0.871875,640,552,0.8625,640,483,0.7546875,April 2021 - June 2021,922,,0.6471023427866831,0.6836894215737364,0.6653958821802097,No
56,Nottingham,East Midlands,E06000018,718,596,0.83008356545961,718,683,0.9512534818941504,718,619,0.862116991643454,718,658,0.9164345403899722,718,618,0.8607242339832869,718,479,0.6671309192200557,April 2021 - June 2021,910,,0.8,0.8024383485730119,0.801219174286506,No
57,Nottinghamshire,East Midlands,E10000024,1726,1499,0.8684820393974507,1726,1639,0.9495944380069525,1726,1710,0.9907300115874855,1726,1675,0.97045191193511,1726,1641,0.9507531865585168,1726,1438,0.8331402085747392,April 2021 - June 2021,2036,,0.8381651376146789,0.8450912678835718,0.8416282027491253,No
58,Rutland,East Midlands,E06000017,53,DK,-,53,DK,-,53,DK,-,53,DK,-,53,DK,-,53,DK,-,April 2021 - June 2021,89,,0.8338907469342253,0.7259475218658892,0.7799191344000572,No
59,West Northamptonshire,East Midlands,E06000062,936,780,0.8333333333333334,936,871,0.9305555555555556,936,872,0.9316239316239316,936,844,0.9017094017094017,936,839,0.8963675213675214,936,760,0.811965811965812,April 2021 - June 2021,1139,,0.6635454351989785,0.6851241485387827,0.6743347918688806,No
60,Birmingham,West Midlands,E08000025,2145,1821,0.848951048951049,2145,2028,0.9454545454545454,2145,2032,0.9473193473193473,2145,1981,0.9235431235431235,2145,1971,0.9188811188811189,2145,1765,0.8228438228438228,April 2021 - June 2021,4045,,0.7511355162361874,0.7061372761455611,0.7286363961908742,No
61,Coventry,West Midlands,E08000026,813,737,0.906519065190652,813,804,0.988929889298893,813,801,0.985239852398524,813,774,0.9520295202952029,813,810,0.996309963099631,813,708,0.8708487084870848,April 2021 - June 2021,1091,,0.8316237177883412,0.7533998186763372,0.7925117682323393,No
62,Dudley,West Midlands,E08000027,840,656,0.780952380952381,840,776,0.9238095238095239,840,726,0.8642857142857143,840,742,0.8833333333333333,840,734,0.8738095238095238,840,560,0.6666666666666666,April 2021 - June 2021,963,,0.8734249713631157,0.7940640458214007,0.8337445085922581,No
63,Herefordshire,West Midlands,E06000019,341,320,0.9384164222873901,341,335,0.9824046920821115,341,339,0.9941348973607038,341,337,0.9882697947214076,341,334,0.9794721407624634,341,333,0.9765395894428153,April 2021 - June 2021,382,,0.9226118500604595,0.898175397292525,0.9103936236764922,No
64,Sandwell,West Midlands,E08000028,1026,822,0.8011695906432749,1026,932,0.9083820662768031,1026,910,0.8869395711500975,1026,921,0.8976608187134503,1026,878,0.8557504873294347,1026,696,0.6783625730994152,April 2021 - June 2021,1098,,0.94,0.9352698993595608,0.9376349496797804,No
65,Shropshire,West Midlands,E06000051,247,178,0.7206477732793523,247,198,0.8016194331983806,247,212,0.8582995951417004,247,200,0.8097165991902834,247,194,0.7854251012145749,247,137,0.5546558704453441,April 2021 - June 2021,753,,0.5424099017109574,0.509053638537752,0.5257317701243547,No
66,Solihull,West Midlands,E08000029,327,284,0.8685015290519877,327,303,0.926605504587156,327,313,0.9571865443425076,327,302,0.9235474006116208,327,298,0.9113149847094801,327,262,0.8012232415902141,April 2021 - June 2021,579,,0.6766884531590414,0.6665236051502146,0.671606029154628,No
67,Staffordshire,West Midlands,E10000028,1753,1473,0.8402738163148887,1753,1551,0.8847689674843126,1753,1619,0.9235596120935539,1753,1594,0.9092983456930975,1753,1557,0.8881916714204221,1753,1397,0.7969195664575014,April 2021 - June 2021,2107,,0.7754487550665895,0.7862846406763739,0.7808666978714818,No
68,Stoke on Trent,West Midlands,E06000021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,April 2021 - June 2021,-,,Could Not Calculate Response Rate,Could Not Calculate Response Rate,Could Not Calculate Response Rate,No
69,Telford and Wrekin,West Midlands,E06000020,323,249,0.7708978328173375,323,294,0.9102167182662538,323,270,0.8359133126934984,323,272,0.8421052631578947,323,278,0.8606811145510835,323,215,0.6656346749226006,April 2021 - June 2021,565,,0.5518060836501901,0.522972972972973,0.5373895283115815,No
70,Walsall,West Midlands,E08000030,574,562,0.9790940766550522,574,519,0.9041811846689896,574,538,0.9372822299651568,574,547,0.9529616724738676,574,511,0.8902439024390244,574,465,0.8101045296167247,April 2021 - June 2021,776,,0.48284313725490197,0.5623215984776403,0.5225823678662711,No
71,Warwickshire,West Midlands,E10000031,1198,1108,0.9248747913188647,1198,1167,0.9741235392320534,1198,1177,0.9824707846410684,1198,1149,0.9590984974958264,1198,1159,0.9674457429048414,1198,1075,0.8973288814691152,April 2021 - June 2021,1493,,0.8007228519796287,0.7820924261874198,0.7914076390835243,No
72,Wolverhampton,West Midlands,E08000031,693,537,0.7748917748917749,693,642,0.9264069264069265,693,607,0.8759018759018758,693,628,0.9062049062049062,693,600,0.8658008658008658,693,539,0.7777777777777778,April 2021 - June 2021,822,,0.8301242236024845,0.7955357142857142,0.8128299689440994,No
73,Worcestershire,West Midlands,E10000034,1159,1095,0.9447799827437446,1159,1123,0.9689387402933564,1159,1136,0.9801553062985332,1159,1111,0.9585849870578085,1159,1110,0.9577221742881795,1159,1038,0.8955996548748921,April 2021 - June 2021,1479,,0.7344463971880492,0.6819516971279374,0.7081990471579933,No
74,Bedford,East of England,E06000055,43,25,0.5813953488372093,43,33,0.7674418604651163,43,32,0.7441860465116279,43,27,0.627906976744186,43,28,0.6511627906976745,43,21,0.4883720930232558,April 2021 - June 2021,577,,0.07417840375586854,0.07113912651958577,0.07265876513772715,No
75,Cambridgeshire,East of England,E10000003,1058,949,0.8969754253308129,1058,1009,0.9536862003780718,1058,1030,0.9735349716446124,1058,995,0.9404536862003781,1058,993,0.9385633270321361,1058,903,0.8534971644612477,April 2021 - June 2021,1751,,0.5120058565153733,0.49177330895795246,0.501889582736663,No
76,Central Bedfordshire,East of England,E06000056,57,34,0.5964912280701754,57,48,0.8421052631578947,57,47,0.8245614035087719,57,46,0.8070175438596491,57,43,0.7543859649122807,57,29,0.5087719298245614,April 2021 - June 2021,941,,0.07158899494665918,0.06935001359804188,0.07046950427235053,No
77,Essex,East of England,E10000012,3419,3049,0.8917812225797017,3419,3151,0.9216145071658379,3419,3310,0.9681193331383445,3419,3238,0.947060544018719,3419,3131,0.9157648435214976,3419,2850,0.8335770693185142,April 2021 - June 2021,3650,,0.7881995133819951,0.8404462316772603,0.8143228725296277,No
78,Hertfordshire,East of England,E10000015,2622,2454,0.9359267734553776,2622,2531,0.9652936689549961,2622,2564,0.9778794813119756,2622,2518,0.9603356216628528,2622,2498,0.9527078565980168,2622,2320,0.8848207475209764,April 2021 - June 2021,3577,,0.757652875736203,0.754580346151061,0.7561166109436319,No
79,Luton,East of England,E06000032,695,616,0.8863309352517985,695,674,0.9697841726618706,695,679,0.9769784172661871,695,648,0.9323741007194245,695,660,0.9496402877697842,695,602,0.8661870503597122,April 2021 - June 2021,832,,0.8387096774193549,0.7998805256869773,0.8192951015531661,No
80,Milton Keynes,East of England,E06000042,697,599,0.8593974175035868,697,663,0.9512195121951219,697,654,0.9383070301291249,697,673,0.9655667144906743,697,646,0.926829268292683,697,554,0.7948350071736011,April 2021 - June 2021,862,,0.8209042865531415,0.8173048816135633,0.8191045840833524,No
81,Norfolk,East of England,E10000020,332,251,0.7560240963855421,332,296,0.891566265060241,332,307,0.9246987951807228,332,292,0.8795180722891566,332,282,0.8493975903614458,332,237,0.713855421686747,April 2021 - June 2021,2141,,0.18153846153846154,0.17641430450903,0.17897638302374577,No
82,Peterborough,East of England,E06000031,154,120,0.7792207792207793,154,143,0.9285714285714286,154,148,0.961038961038961,154,137,0.8896103896103896,154,133,0.8636363636363636,154,108,0.7012987012987013,April 2021 - June 2021,728,,0.44138929088277856,0.40953340046995634,0.42546134567636745,No
83,Southend on Sea,East of England,E06000033,606,539,0.8894389438943895,606,582,0.9603960396039604,606,587,0.9686468646864687,606,565,0.9323432343234324,606,573,0.9455445544554455,606,512,0.8448844884488449,April 2021 - June 2021,469,,1.0553299492385786,1.09536354056902,1.0753467449037992,No
84,Suffolk,East of England,E10000029,1320,1216,0.9212121212121213,1320,1301,0.9856060606060606,1320,1280,0.9696969696969697,1320,1286,0.9742424242424242,1320,1185,0.8977272727272727,1320,1096,0.8303030303030303,April 2021 - June 2021,1821,,0.7075920141246774,0.7230086039411602,0.7153003090329189,No
85,Thurrock,East of England,E06000034,489,448,0.9161554192229039,489,477,0.9754601226993865,489,476,0.9734151329243353,489,476,0.9734151329243353,489,469,0.9591002044989775,489,434,0.8875255623721882,April 2021 - June 2021,604,,0.8394758394758395,0.8249496981891348,0.8322127688324872,No
86,Barking and Dagenham,London,E09000002,492,214,0.4349593495934959,492,244,0.4959349593495935,492,241,0.4898373983739837,492,237,0.4817073170731707,492,237,0.4817073170731707,492,204,0.4146341463414634,April 2021 - June 2021,814,,0.4998540997957397,0.5044169611307421,0.5021355304632409,No
87,Barnet,London,E09000003,560,520,0.9285714285714286,560,548,0.9785714285714285,560,553,0.9875,560,544,0.9714285714285714,560,529,0.9446428571428571,560,493,0.8803571428571428,April 2021 - June 2021,1148,,0.49761063785580717,0.5196354957691474,0.5086230668124773,No
88,Bexley,London,E09000004,535,467,0.8728971962616823,535,508,0.9495327102803738,535,500,0.9345794392523364,535,492,0.9196261682242991,535,488,0.9121495327102803,535,427,0.7981308411214953,April 2021 - June 2021,721,,0.7854496463455709,0.8446215139442231,0.815035580144897,No
89,Brent,London,E09000005,341,256,0.750733137829912,341,283,0.8299120234604106,341,287,0.841642228739003,341,275,0.8064516129032258,341,278,0.8152492668621701,341,243,0.7126099706744868,April 2021 - June 2021,1024,,0.4712913053667682,0.47373380447585395,0.47251255492131106,No
90,Bromley,London,E09000006,448,394,0.8794642857142857,448,427,0.953125,448,421,0.9397321428571429,448,424,0.9464285714285714,448,423,0.9441964285714286,448,361,0.8058035714285714,April 2021 - June 2021,679,,0.6263363754889179,0.776843467011643,0.7015899212502804,No
91,Camden,London,E09000007,289,250,0.8650519031141869,289,281,0.972318339100346,289,285,0.986159169550173,289,274,0.9480968858131488,289,270,0.9342560553633218,289,239,0.8269896193771626,April 2021 - June 2021,469,,0.6406712734452122,0.6656410256410257,0.653156149543119,No
92,Croydon,London,E09000008,131,103,0.7862595419847328,131,126,0.9618320610687023,131,117,0.8931297709923665,131,113,0.8625954198473282,131,114,0.8702290076335878,131,96,0.732824427480916,April 2021 - June 2021,1334,,0.276162215628091,0.2650968477022408,0.2706295316651659,No
93,Ealing,London,E09000009,874,788,0.9016018306636155,874,839,0.959954233409611,874,841,0.9622425629290617,874,824,0.9427917620137299,874,818,0.9359267734553776,874,754,0.8627002288329519,April 2021 - June 2021,1111,,0.730593607305936,0.717327953373683,0.7239607803398096,No
94,Enfield,London,E09000010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,April 2021 - June 2021,-,,Could Not Calculate Response Rate,Could Not Calculate Response Rate,Could Not Calculate Response Rate,No
95,Greenwich,London,E09000011,3,1,0.3333333333333333,3,3,1,3,2,0.6666666666666666,3,1,0.3333333333333333,3,2,0.6666666666666666,3,1,0.3333333333333333,April 2021 - June 2021,307,,0.1506849315068493,0.18339100346020762,0.16703796748352845,No
96,Hackney and City of London,London,E09000012,535,506,0.9457943925233645,535,525,0.9813084112149533,535,525,0.9813084112149533,535,517,0.9663551401869159,535,512,0.9570093457943926,535,492,0.9196261682242991,April 2021 - June 2021,959,,Could Not Calculate Response Rate,0.575,0.575,No
97,Hammersmith and Fulham,London,E09000013,279,DK,-,279,DK,-,279,DK,-,279,DK,-,279,DK,-,279,DK,-,April 2021 - June 2021,482,,Could Not Calculate Response Rate,Could Not Calculate Response Rate,Could Not Calculate Response Rate,No
