,la_name,Region,ONS code,total_comms,n_above_avg_comms,p_above_avg_comms,total_gms,n_above_avg_gms,p_above_avg_gms,total_fms,n_above_avg_fms,p_above_avg_fms,total_problem_solving,n_above_avg_problem_solving,p_above_avg_problem_solving,total_personal_social,n_above_avg_personal_social,p_above_avg_personal_social,total_overall,n_above_avg_overall,p_above_avg_overall,date,total_kids_hv,eyfsp_score,response_rate_census,response_rate_hv,response_rate_combined,response_rate_warning
0,County Durham,North East,E06000047,1098,984,0.8961748633879781,1098,1050,0.9562841530054644,1098,1057,0.9626593806921676,1098,1039,0.9462659380692168,1098,1022,0.930783242258652,1098,952,0.8670309653916212,April 2021 - June 2021,1180,,0.8945726762320648,0.9089372491020494,0.9017549626670571,No
1,Darlington,North East,E06000005,327,307,0.9388379204892966,327,322,0.9847094801223242,327,325,0.9938837920489296,327,320,0.9785932721712538,327,319,0.9755351681957186,327,304,0.9296636085626911,April 2021 - June 2021,269,,1.0372137404580153,1.0502415458937198,1.0437276431758675,No
2,Gateshead,North East,E08000037,435,385,0.8850574712643678,435,412,0.9471264367816092,435,417,0.9586206896551724,435,407,0.9356321839080459,435,408,0.9379310344827586,435,374,0.8597701149425288,April 2021 - June 2021,445,,0.7525252525252525,0.8084644601193706,0.7804948563223115,No
3,Hartlepool,North East,E06000001,233,103,0.44206008583690987,233,114,0.4892703862660944,233,70,0.30042918454935624,233,115,0.49356223175965663,233,113,0.48497854077253216,233,79,0.33905579399141633,April 2021 - June 2021,279,,0.9350104821802935,0.8893320039880359,0.9121712430841646,No
4,Middlesbrough,North East,E06000002,375,329,0.8773333333333333,375,358,0.9546666666666667,375,362,0.9653333333333334,375,345,0.92,375,348,0.928,375,323,0.8613333333333333,April 2021 - June 2021,418,,0.9058139534883721,0.9599507085643869,0.9328823310263795,No
5,Newcastle upon Tyne,North East,E08000021,285,219,0.7684210526315789,285,261,0.9157894736842105,285,269,0.9438596491228071,285,256,0.8982456140350877,285,254,0.8912280701754386,285,208,0.7298245614035088,April 2021 - June 2021,821,,0.644233910486769,0.6336760925449871,0.638955001515878,No
6,North Tyneside,North East,E08000022,453,414,0.9139072847682119,453,438,0.9668874172185431,453,441,0.9735099337748344,453,436,0.9624724061810155,453,428,0.9448123620309051,453,393,0.8675496688741722,April 2021 - June 2021,593,,0.7818096135721018,0.7231909328683522,0.7525002732202271,No
7,Northumberland,North East,E06000057,689,660,0.9579100145137881,689,681,0.988388969521045,689,678,0.9840348330914369,689,680,0.9869375907111756,689,664,0.9637155297532656,689,623,0.9042089985486212,April 2021 - June 2021,757,,0.9163816039528696,0.8939562476826103,0.90516892581774,No
8,Redcar and Cleveland,North East,E06000003,255,234,0.9176470588235294,255,251,0.984313725490196,255,249,0.9764705882352941,255,250,0.9803921568627451,255,246,0.9647058823529412,255,228,0.8941176470588236,April 2021 - June 2021,345,,0.8923533778767632,0.8970149253731343,0.8946841516249487,No
9,South Tyneside,North East,E08000023,391,311,0.7953964194373402,391,336,0.8593350383631714,391,337,0.8618925831202046,391,337,0.8618925831202046,391,327,0.8363171355498721,391,296,0.7570332480818415,April 2021 - June 2021,398,,1.003408316291752,0.9879194630872483,0.9956638896895001,No
