,time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,lad_code,lad_name,characteristic,characteristic_type,gender,children_number,average_elgs,elg_number,elg_percentage,comm_lang_lit_number,comm_lang_lit_percentage,gld_number,gld_percentage
1872,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Total,Total,Total,5116,14.000000,3209,62.700000,3394,66.300000,3300,64.500000
1873,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Total,Total,Girls,2536,14.900000,1812,71.500000,1878,74.100000,1840,72.600000
1874,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Total,Total,Boys,2580,13.100000,1397,54.100000,1516,58.800000,1460,56.600000
1875,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,White,Total,4821,14.000000,3034,62.900000,3212,66.600000,3123,64.800000
1876,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,White,Girls,2395,14.900000,1714,71.600000,1778,74.200000,1742,72.700000
1877,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,White,Boys,2426,13.200000,1320,54.400000,1434,59.100000,1381,56.900000
1878,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Mixed/multiple ethnic groups,Total,90,14.600000,61,67.800000,62,68.900000,61,67.800000
1879,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Mixed/multiple ethnic groups,Girls,44,15.600000,33,75.000000,34,77.300000,33,75.000000
1880,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Mixed/multiple ethnic groups,Boys,46,13.700000,28,60.900000,28,60.900000,28,60.900000
1881,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Asian/Asian British,Total,81,12.900000,45,55.600000,48,59.300000,45,55.600000
1882,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Asian/Asian British,Girls,34,14.600000,21,61.800000,22,64.700000,21,61.800000
1883,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Asian/Asian British,Boys,47,11.700000,24,51.100000,26,55.300000,24,51.100000
1884,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Black/African/Caribbean/Black British,Total,29,13.100000,19,65.500000,20,69.000000,20,69.000000
1885,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Black/African/Caribbean/Black British,Girls,18,15.800000,16,88.900000,16,88.900000,16,88.900000
1886,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Black/African/Caribbean/Black British,Boys,11,8.800000,3,27.300000,4,36.400000,4,36.400000
1887,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Other ethnic group,Total,26,12.700000,17,65.400000,18,69.200000,18,69.200000
1888,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Other ethnic group,Girls,7,15.900000,6,85.700000,6,85.700000,6,85.700000
1889,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Other ethnic group,Boys,19,11.600000,11,57.900000,12,63.200000,12,63.200000
1890,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Unclassified,Total,69,12.000000,33,47.800000,34,49.300000,33,47.800000
1891,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Unclassified,Girls,38,13.200000,22,57.900000,22,57.900000,22,57.900000
1892,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Ethnic group: major,Unclassified,Boys,31,10.500000,11,35.500000,12,38.700000,11,35.500000
1893,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Known or believed to be English,Total,4936,14.000000,3110,63.000000,3291,66.700000,3199,64.800000
1894,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Known or believed to be English,Girls,2453,14.900000,1761,71.800000,1826,74.400000,1789,72.900000
1895,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Known or believed to be English,Boys,2483,13.100000,1349,54.300000,1465,59.000000,1410,56.800000
1896,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Known or believed to be other than English,Total,149,13.000000,88,59.100000,92,61.700000,90,60.400000
1897,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Known or believed to be other than English,Girls,67,14.100000,44,65.700000,45,67.200000,44,65.700000
1898,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Known or believed to be other than English,Boys,82,12.100000,44,53.700000,47,57.300000,46,56.100000
1899,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Unclassified,Total,31,10.900000,11,35.500000,11,35.500000,11,35.500000
1900,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Unclassified,Girls,16,12.300000,7,43.800000,7,43.800000,7,43.800000
1901,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,First language,Unclassified,Boys,15,9.500000,4,26.700000,4,26.700000,4,26.700000
1902,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Free school meal eligibility,Known to be eligible for free school meals,Total,1418,12.200000,657,46.300000,710,50.100000,685,48.300000
1903,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Free school meal eligibility,Known to be eligible for free school meals,Girls,687,13.400000,378,55.000000,407,59.200000,392,57.100000
1904,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Free school meal eligibility,Known to be eligible for free school meals,Boys,731,11.000000,279,38.200000,303,41.500000,293,40.100000
1905,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Free school meal eligibility,Not known to be eligible for free school meals,Total,3698,14.600000,2552,69.000000,2684,72.600000,2615,70.700000
1906,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Free school meal eligibility,Not known to be eligible for free school meals,Girls,1849,15.400000,1434,77.600000,1471,79.600000,1448,78.300000
1907,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Free school meal eligibility,Not known to be eligible for free school meals,Boys,1849,13.900000,1118,60.500000,1213,65.600000,1167,63.100000
1908,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Term of birth,Autumn-born,Total,1868,14.700000,1321,70.700000,1381,73.900000,1353,72.400000
1909,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Term of birth,Autumn-born,Girls,904,15.400000,711,78.700000,736,81.400000,725,80.200000
1910,202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,,,Term of birth,Autumn-born,Boys,964,14.000000,610,63.300000,645,66.900000,628,65.100000
