,time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,lad_code,lad_name,characteristic,characteristic_type,gender,children_number,average_elgs,elg_number,elg_percentage,comm_lang_lit_number,comm_lang_lit_percentage,gld_number,gld_percentage
156,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Total,Total,Total,28094,13.900000,17504,62.300000,18502,65.900000,18006,64.100000
157,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Total,Total,Girls,13783,14.700000,9689,70.300000,10068,73.000000,9852,71.500000
158,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Total,Total,Boys,14311,13.000000,7815,54.600000,8434,58.900000,8154,57.000000
159,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,White,Total,24451,14.000000,15508,63.400000,16361,66.900000,15916,65.100000
160,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,White,Girls,12017,14.900000,8594,71.500000,8911,74.200000,8718,72.500000
161,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,White,Boys,12434,13.200000,6914,55.600000,7450,59.900000,7198,57.900000
162,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Mixed/multiple ethnic groups,Total,958,14.000000,624,65.100000,653,68.200000,637,66.500000
163,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Mixed/multiple ethnic groups,Girls,475,14.600000,336,70.700000,347,73.100000,338,71.200000
164,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Mixed/multiple ethnic groups,Boys,483,13.500000,288,59.600000,306,63.400000,299,61.900000
165,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Asian/Asian British,Total,1336,12.600000,714,53.400000,771,57.700000,754,56.400000
166,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Asian/Asian British,Girls,640,13.900000,390,60.900000,415,64.800000,408,63.800000
167,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Asian/Asian British,Boys,696,11.400000,324,46.600000,356,51.100000,346,49.700000
168,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Black/African/Caribbean/Black British,Total,505,13.300000,301,59.600000,329,65.100000,322,63.800000
169,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Black/African/Caribbean/Black British,Girls,265,14.600000,185,69.800000,198,74.700000,195,73.600000
170,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Black/African/Caribbean/Black British,Boys,240,11.900000,116,48.300000,131,54.600000,127,52.900000
171,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Other ethnic group,Total,368,11.800000,167,45.400000,180,48.900000,178,48.400000
172,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Other ethnic group,Girls,160,12.600000,80,50.000000,84,52.500000,83,51.900000
173,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Other ethnic group,Boys,208,11.200000,87,41.800000,96,46.200000,95,45.700000
174,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Unclassified,Total,476,10.900000,190,39.900000,208,43.700000,199,41.800000
175,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Unclassified,Girls,226,12.200000,104,46.000000,113,50.000000,110,48.700000
176,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: major,Unclassified,Boys,250,9.700000,86,34.400000,95,38.000000,89,35.600000
177,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,White British,Total,23641,14.100000,15108,63.900000,15930,67.400000,15494,65.500000
178,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,White British,Girls,11593,14.900000,8364,72.100000,8665,74.700000,8477,73.100000
179,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,White British,Boys,12048,13.300000,6744,56.000000,7265,60.300000,7017,58.200000
180,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Irish,Total,34,14.100000,20,58.800000,21,61.800000,21,61.800000
181,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Irish,Girls,20,15.200000,15,75.000000,15,75.000000,15,75.000000
182,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Irish,Boys,14,12.500000,5,35.700000,6,42.900000,6,42.900000
183,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Traveller of Irish heritage,Total,21,8.300000,5,23.800000,5,23.800000,5,23.800000
184,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Traveller of Irish heritage,Girls,10,10.000000,3,30.000000,3,30.000000,3,30.000000
185,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Traveller of Irish heritage,Boys,11,6.800000,2,18.200000,2,18.200000,2,18.200000
186,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Gypsy/Roma,Total,102,10.100000,27,26.500000,32,31.400000,29,28.400000
187,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Gypsy/Roma,Girls,56,11.800000,21,37.500000,24,42.900000,22,39.300000
188,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Gypsy/Roma,Boys,46,8.100000,6,13.000000,8,17.400000,7,15.200000
189,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Any other white background,Total,653,12.800000,348,53.300000,373,57.100000,367,56.200000
190,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Any other white background,Girls,338,13.400000,191,56.500000,204,60.400000,201,59.500000
191,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,Any other white background,Boys,315,12.100000,157,49.800000,169,53.700000,166,52.700000
192,202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,,,Ethnic group: minor,White and black Caribbean,Total,86,14.300000,56,65.100000,61,70.900000,57,66.300000
